OBJECTID,stormid,month,year,AcresOnLand,Shape__Area,Shape__Length,Total_Store_Count,HD_Store_Count,LOW_Store_Count
204,EP012023,07,2023,5135.38131311503,7.79197446708747,12.3974646020313,0,0,0
205,ep022014,06,2014,1466303.93712935,2.26744535671298,6.28979203688725,0,0,0
206,ep022015,06,2015,13810746.6980155,78.7269137317126,46.4196409918899,0,0,0
207,ep022016,07,2016,0,6.86261725988004,26.2651112637255,0,0,0
208,ep022017,06,2017,259861.821428999,1.48470376864168,5.93069183533437,0,0,0
209,EP022018,06,2018,0,30.8511768789999,33.5327440657577,0,0,0
210,EP022019,06,2019,514.503115833889,10.760974557068,22.2275250655376,0,0,0
211,EP022019,07,2019,0,114.996886741164,84.0592715174811,0,0,0
212,EP022020,05,2020,2219753.416327,1.89761681896846,6.08220107403897,0,0,0
213,EP022021,05,2021,0,0.664273536123687,5.84352510001275,0,0,0
214,EP022021,06,2021,0,3.19858002643116,12.1750302610017,0,0,0
215,EP022022,06,2022,35225.236495426,34.2179686793752,34.1138468579342,0,0,0
216,EP022023,06,2023,2741428.41302114,7.26508091735252,22.9922529789844,0,0,0
217,EP022023,07,2023,6056469.24549754,3.69539537636285,8.68462254649173,0,0,0
218,ep032014,06,2014,35225.236495426,22.7121093214947,31.169816371731,0,0,0
219,ep032015,06,2015,2017135.92128761,15.099998485396,25.3565056987385,0,0,0
220,ep032016,07,2016,0,87.1995152193771,73.1843485505583,0,0,0
221,ep032017,06,2017,644003.943929205,2.10768194721243,6.14207447718082,0,0,0
222,EP032018,06,2018,2283970.24030062,44.0611963115551,43.8954894515047,0,0,0
223,EP032019,07,2019,0,20.1117601840809,22.3632884216607,0,0,0
224,EP032020,06,2020,0,2.01724739374026,7.64520568435477,0,0,0
225,EP032021,06,2021,0,3.15729936637877,15.808472109472,0,0,0
226,EP032022,06,2022,35225.236495426,37.7941103508282,62.6718775314264,0,0,0
227,EP032023,07,2023,1063381.58287935,104.064523538272,136.341606470566,0,0,0
228,ep042014,06,2014,0,11.8558899388703,17.7657170857055,0,0,0
229,ep042014,07,2014,5135.38131311503,13.4320508427735,23.5995151222156,0,0,0
230,ep042015,07,2015,0,8.93062977417367,24.439518249136,0,0,0
231,ep042016,07,2016,0,147.550517431568,143.373346994599,0,0,0
232,ep042017,06,2017,1560.03491192387,16.7567783895521,37.3769376664882,0,0,0
233,EP042018,06,2018,1668158.58175444,3.36539013694346,10.2654880293496,0,0,0
234,EP042021,06,2021,9579850.28024965,15.3700940872604,19.855501473963,0,0,0
235,EP042022,06,2022,1947653.80404188,42.2923518123142,63.674106869479,0,0,0
236,EP042022,07,2022,6809837.76595609,81.5904505047412,148.134023187379,0,0,0
237,ep052014,06,2014,9.83374726759584,4.47118817378077,8.92209595992022,0,0,0
238,ep052014,07,2014,0,2.8374522156704,6.54573439694515,0,0,0
239,ep052015,07,2015,35235.0702426936,80.4739340291553,61.6712751169466,0,0,0
240,ep052016,07,2016,3313292.16031579,119.82167269843,126.83602382414,8,5,3
241,ep052017,07,2017,5135.38131311503,37.1743963486471,39.8322108208717,0,0,0
242,EP052018,06,2018,0,3.52808826653904,15.8196503352951,0,0,0
243,EP052019,07,2019,0,6.29910283629147,11.1125335360275,0,0,0
244,EP052020,07,2020,38800.5828966172,40.2593475903157,65.0496432817536,0,0,0
245,EP052021,06,2021,3216396.87247157,30.8253899989243,35.5273654031474,0,0,0
246,EP052022,07,2022,0,34.5435185074834,117.286464921811,0,0,0
247,EP052023,08,2023,0,118.805517822489,221.362909952397,0,0,0
248,ep062014,07,2014,0,4.59280734158136,18.2720674270657,0,0,0
249,ep062015,07,2015,0,19.5478294202636,36.5209627574728,0,0,0
250,ep062016,07,2016,5135.38131311503,78.732350148574,72.1122017657011,0,0,0
251,ep062017,07,2017,0,74.3593604163755,88.2075579564168,0,0,0
252,EP062018,06,2018,0,14.9384430224482,22.0959553062408,0,0,0
253,EP062019,07,2019,0,34.4475070267915,63.8245621741158,0,0,0
254,EP062019,08,2019,0,25.5231132388899,44.8900032611071,0,0,0
255,EP062021,07,2021,0,28.503597018554,62.1850674031236,0,0,0
256,EP062022,07,2022,38800.5828966172,48.4313709547419,69.1739206654014,0,0,0
257,EP062023,08,2023,0,14.8419299683991,37.7083108769251,0,0,0
258,ep072014,07,2014,0,3.69961897650842,11.8922804115041,0,0,0
259,ep072014,08,2014,0,126.146142655324,98.0154834314998,0,0,0
260,ep072015,07,2015,5135.38131311503,2.99118087766033,8.42669771217862,0,0,0
261,ep072016,07,2016,35225.236495426,37.8396500565377,64.7171741452831,0,0,0
262,ep072017,07,2017,0,29.9528833919744,80.0557241845845,0,0,0
263,EP072018,07,2018,0,90.0050969418186,65.5812673850844,0,0,0
264,EP072019,07,2019,0,26.0298938783113,50.4593720100744,0,0,0
265,EP072019,08,2019,0,61.0718681038835,67.357108589452,0,0,0
266,EP072020,07,2020,0,1.4570419331942,9.73539412392782,0,0,0
267,EP072021,07,2021,5135.38131311503,24.7191153575549,40.4315262534444,0,0,0
268,EP072022,07,2022,0,50.4718339478216,59.4527098058196,0,0,0
269,EP072022,08,2022,0,23.8344140119343,25.2048244049838,0,0,0
270,EP072023,08,2023,0,38.6883539766785,62.9462005359382,0,0,0
271,ep082014,07,2014,11680.3483537298,15.7204421426724,39.7125258782175,0,0,0
272,ep082016,07,2016,0,21.0446686879191,38.1227429226631,0,0,0
273,EP082018,07,2018,0,0.798405812479473,7.205325407738,0,0,0
274,EP082019,08,2019,0,2.15311093618845,7.38985659294839,0,0,0
275,EP082020,07,2020,376075.898660847,103.116984624549,129.345222356943,0,0,0
276,EP082021,07,2021,0,19.7658015848024,26.2838556189001,0,0,0
277,EP082021,08,2021,0,28.6291240189978,41.9671679258133,0,0,0
278,EP082022,07,2022,0,9.27731573429242,42.5013277739707,0,0,0
279,EP082023,08,2023,0,25.7617529246548,45.3476128287589,0,0,0
280,ep092014,07,2014,0,4.02251959062505,8.66427828139455,0,0,0
281,ep092014,08,2014,2691169.90455314,98.1833746458218,102.045702442149,3,2,1
282,ep092015,07,2015,0,24.9587758028562,33.4776903410837,0,0,0
283,ep092015,08,2015,0,78.536516702165,66.4843225530394,0,0,0
284,ep092016,08,2016,0,30.1598051673059,57.8488729149398,0,0,0
285,ep092017,07,2017,5135.38131311503,58.5371445395279,86.9419910380827,0,0,0
286,EP092019,08,2019,0,1.24617603081583,8.14497391506629,0,0,0
287,EP092020,08,2020,1560.03491192387,22.8480975452483,48.530204212749,0,0,0
288,EP092021,08,2021,0,2.28606998292366,11.6123881058226,0,0,0
289,EP092022,08,2022,0,15.935121095703,37.4602280201162,0,0,0
290,EP092023,08,2023,52778743.9822211,158.946583616872,76.368787112252,30,22,8
291,ep102014,08,2014,0,134.236451457081,127.880727500701,0,0,0
292,ep102015,08,2015,0,38.2097594555451,60.0632154038505,0,0,0
293,ep102016,08,2016,0,30.525744764768,65.2497724359127,0,0,0
294,ep102017,07,2017,0,28.0686704092072,47.559965236967,0,0,0
295,ep102017,08,2017,0,2.2769532695711,10.3608961452324,0,0,0
296,EP102018,08,2018,0,155.423537185243,189.468668932661,0,0,0
297,EP102019,08,2019,5135.38131311503,35.116547041681,40.2779960584726,0,0,0
298,EP102021,08,2021,0,2.28255858553666,8.5852096092887,0,0,0
299,EP102022,08,2022,5135.38131311503,1.74025281505055,5.37946911277548,0,0,0
300,EP102023,08,2023,0,21.6414091936464,33.1497921272349,0,0,0
301,ep112014,08,2014,0,44.8111169854642,68.47118628263,0,0,0
302,ep112016,08,2016,6091851.52714241,14.5899223743631,23.8550205591224,0,0,0
303,EP112018,08,2018,44526.5453261344,9.3795124741232,38.4354116553427,0,0,0
304,EP112019,09,2019,5135.38131311503,73.7221214389501,68.5833693303268,0,0,0
305,EP112020,08,2020,0,0.206767481192173,1.83412577231921,0,0,0
306,EP112021,08,2021,5135.38131311503,23.9872468893212,40.2292831839041,0,0,0
307,EP112022,09,2022,35225.236495426,17.8480453068125,31.6613568478071,0,0,0
308,EP112023,09,2023,5135.38131311503,67.8864725511032,63.8327990834741,0,0,0
309,ep122014,08,2014,0,65.4970487924265,38.7569232683739,0,0,0
310,ep122015,08,2015,0,63.0217962961425,59.8221712970239,0,0,0
311,ep122015,09,2015,0,114.567454472274,60.4528602754381,0,0,0
312,ep122016,08,2016,0,10.2879135867415,30.25182691075,0,0,0
313,ep122017,08,2017,0,2.97151213083589,14.0060093806056,0,0,0
314,EP122018,08,2018,35279.8150675648,49.2105400894368,46.8571607974383,0,0,0
315,EP122019,09,2019,0,5.21358711974483,14.1438049219125,0,0,0
316,EP122020,08,2020,4461585.61022496,65.4174087447907,57.7236611374137,0,0,0
317,EP122021,08,2021,5135.38131311503,108.654549364939,105.420019754676,0,0,0
318,EP122022,09,2022,43904892.9153727,124.308207974049,71.5706567691813,31,22,9
319,ep132014,08,2014,40360.6178085411,172.711969557728,94.3413663406483,0,0,0
320,ep132015,08,2015,0,66.7169449821188,56.5859619382693,0,0,0
321,ep132015,09,2015,0,117.902615660026,64.5847688002597,0,0,0
322,ep132016,08,2016,5135.38131311503,63.9241712361995,75.4277150369658,0,0,0
323,ep132016,09,2016,0,106.446257358419,100.25643079891,0,0,0
324,ep132017,08,2017,0,46.7540314593391,69.2166510348763,0,0,0
325,EP132018,08,2018,0,17.9433039013455,45.717151403281,0,0,0
326,EP132019,09,2019,0,35.5974083703766,77.9832468565736,0,0,0
327,EP132020,08,2020,342516.589544981,11.1251100923189,23.4984303270759,0,0,0
328,EP132021,08,2021,1560.03491192387,8.80349698653117,26.1748609181384,0,0,0
329,EP132022,09,2022,0,3.60878769599219,12.236452777963,0,0,0
330,EP132023,09,2023,0,10.5209713225885,25.6395534847632,0,0,0
331,ep142014,09,2014,8805832.71976893,45.8905790045646,44.0419289277192,0,0,0
332,ep142015,09,2015,0,20.0966963542721,46.2277745241777,0,0,0
333,ep142016,08,2016,0,40.5374060687261,47.1142521247018,0,0,0
334,ep142016,09,2016,0,6.94429242666229,16.5290100547795,0,0,0
335,ep142017,08,2017,1752198.12863758,18.8596109467728,20.4660477481766,0,0,0
336,ep142017,09,2017,30647795.0530977,38.1976064854516,30.0702962307533,0,0,0
337,EP142018,08,2018,29083.8946764733,99.8263969149491,121.403895099531,0,0,0
338,EP142019,09,2019,35225.236495426,17.3932903636463,30.6415772498456,0,0,0
339,EP142020,08,2020,5135.38131311503,13.1882732283273,22.7892107837434,0,0,0
340,EP142021,08,2021,27690807.2855542,69.6182918497253,42.1377029061475,0,0,0
341,EP142022,09,2022,0,39.8942682204444,31.8529005684493,0,0,0
342,ep152014,09,2014,41081927.1800972,93.3738670507888,52.4451530376435,0,0,0
343,ep152015,09,2015,33719.7801556409,47.0707182082003,43.0896368179325,0,0,0
344,ep152016,09,2016,45811465.7645422,64.5789457665423,47.0626882246517,0,0,0
345,ep152017,09,2017,0,8.58741463455624,17.7357243232061,0,0,0
346,EP152018,08,2018,0,39.651574530595,61.7078400489747,0,0,0
347,EP152018,09,2018,0,18.5842929672463,25.0967875281811,0,0,0
348,EP152019,09,2019,6469261.71591624,25.7638526299324,55.8815683911364,0,0,0
349,EP152020,09,2020,0,2.44731122384724,19.5114626457485,0,0,0
350,EP152021,09,2021,4882570.1111571,18.0658138985493,24.325594294299,0,0,0
351,EP152022,09,2022,33665.2015835022,7.33006756149655,21.3540675563856,0,0,0
352,EP152023,10,2023,16215972.5781324,43.5744398103133,53.666878406049,0,0,0
353,ep162016,09,2016,0,29.6949449927992,39.1881463921521,0,0,0
354,ep162017,09,2017,3855358.57608105,4.05361649788472,11.0548465329775,0,0,0
355,EP162018,08,2018,0,19.1747299627859,28.1644118506159,0,0,0
356,EP162018,09,2018,0,123.42081852003,109.094773601419,0,0,0
357,EP162019,09,2019,11478816.2283729,15.8727442611105,39.8325324896691,0,0,0
358,EP162019,10,2019,1480921.36520472,1.33688403766564,5.39834827961417,0,0,0
359,EP162020,09,2020,0,35.4120290879149,35.1051098805555,0,0,0
360,EP162021,10,2021,14896109.7999979,31.126950207497,44.0702462435535,0,0,0
361,EP162022,09,2022,0,3.37821676130307,14.2321552830908,0,0,0
362,EP162022,10,2022,6365129.48135945,15.8343872150551,20.6084590977738,0,0,0
363,EP162023,10,2023,3534836.62407262,4.03931395694724,8.38379029034958,0,0,0
364,ep172014,09,2014,16608.9047874594,39.1089606276227,54.3881023287706,0,0,0
365,ep172015,09,2015,227110.585407215,13.0973896097879,19.4754503018086,0,0,0
366,ep172016,09,2016,54.5785721387303,28.1811674084216,41.2192890925485,0,0,0
367,ep172017,09,2017,35225.236495426,17.8700980605224,20.8468653788265,0,0,0
368,EP172018,09,2018,558268.742058157,126.006054869091,133.796863532693,5,3,2
369,EP172020,09,2020,5135.38131311503,35.9373628705522,48.7703071470875,0,0,0
370,EP172021,10,2021,8387051.87453844,12.214085643331,19.4424343461475,0,0,0
371,EP172022,10,2022,0,3.26910923854848,9.84304713591547,0,0,0
372,EP172023,10,2023,14530168.820906,58.6789594131542,42.0018835482424,0,0,0
373,ep182014,09,2014,38800.5828966172,33.3700777688333,39.1701640500057,0,0,0
374,ep182015,10,2015,0,13.8504300428268,41.9072842817143,0,0,0
375,ep182016,09,2016,0,20.0016925414324,22.9287839747359,0,0,0
376,ep182017,09,2017,459752.31486425,4.02528465036664,14.6080881253927,0,0,0
377,EP182018,09,2018,0,11.7466632927742,26.6884543015997,0,0,0
378,EP182019,10,2019,0,1.66107095344898,6.26444091243725,0,0,0
379,EP182020,09,2020,0,4.13729124443375,16.6226648454004,0,0,0
380,EP182020,10,2020,0,75.8029415721977,66.0962824304653,0,0,0
381,EP182021,11,2021,0,5.13504393826753,12.567080772734,0,0,0
382,EP182022,10,2022,20065006.0004873,28.9736592683333,50.8799256423182,0,0,0
383,EP182023,10,2023,8939702.62805185,14.1765670699821,27.0336730137634,0,0,0
384,ep192014,10,2014,271449.728979215,39.6946052378011,51.5252403946947,0,0,0
385,ep192015,10,2015,0,141.945166363038,104.33372667785,0,0,0
386,ep192016,09,2016,0,8.0072424323173,21.2318787104455,0,0,0
387,ep192017,10,2017,0,1.88260927326348,6.57709056509513,0,0,0
388,EP192019,10,2019,16016.8621615155,0.791368431401679,5.9221274843082,0,0,0
389,EP192020,10,2020,0,5.822737117869,25.5002018798384,0,0,0
390,EP192021,11,2021,0,7.61196159679696,14.1792785840617,0,0,0
391,EP192022,10,2022,12668542.0963772,21.6406296281612,34.7523641593832,0,0,0
392,EP192023,10,2023,0,6.5048267271863,11.6388416828474,0,0,0
393,EP192023,11,2023,514.503115833889,28.3570164717964,69.2056618397352,0,0,0
394,ep202014,10,2014,2480064.33496436,3.49596923088825,8.8426109001285,0,0,0
395,ep202015,10,2015,57586532.458465,68.3998624473102,57.977531409177,0,0,0
396,ep202016,10,2016,0,35.7284058563507,62.9053219351919,0,0,0
397,ep202017,10,2017,317769.526156458,2.21061995005869,9.98207578208926,0,0,0
398,EP202018,09,2018,5135.38131311503,59.2366078758114,53.6378775202428,0,0,0
399,EP202018,10,2018,1519644.05526127,20.1098289612082,19.1015618325674,0,0,0
400,EP202019,11,2019,0,16.3812311463819,18.9847624444499,0,0,0
401,EP202020,11,2020,0,29.9374158867927,37.1282870915086,0,0,0
402,EP202023,11,2023,0,1.97594661914013,8.80112047187952,0,0,0
403,ep212014,10,2014,0,3.07871458429736,8.70177845902436,0,0,0
404,ep212014,11,2014,33665.2015835022,40.7610685890916,47.1868585577586,0,0,0
405,ep212015,11,2015,0,8.24259707955639,30.8724315695872,0,0,0
406,ep212016,11,2016,0,5.16219847558443,9.58689800179721,0,0,0
407,EP212018,09,2018,0,20.1707047008557,21.3068839428952,0,0,0
408,EP212018,10,2018,10554948.5225362,170.191211874583,96.5574074765943,0,0,0
409,EP212020,11,2020,0,1.48366736544631,12.4078768484902,0,0,0
410,ep222015,11,2015,204.592522318178,41.5987825598496,46.3417374191638,0,0,0
411,ep222016,11,2016,8805263.21300906,18.3750484831692,38.4434626922196,0,0,0
412,EP222018,10,2018,7.48526939235014,1.54088639003123,5.81948015878917,0,0,0
413,EP232018,10,2018,0,6.9185068971334,33.5694785924354,0,0,0
414,EP242018,10,2018,11219738.0685267,24.9446167886872,26.8472177986807,0,0,0
415,EP252018,11,2018,4539320.29194791,20.5147608117842,28.101100035298,0,0,0
416,,,,,,,,,
